[2023-12-15 00:59:23.315] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 21
[2023-12-15 00:59:23.316] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id d9ae4dd1-43fb-44ec-b253-38347a1896c8
[2023-12-15 00:59:23.417] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id d9ae4dd1-43fb-44ec-b253-38347a1896c8
[2023-12-15 00:59:23.723] | ERROR | services.sqs_services | process_job | sqs_services.py:62 | Job with id d9ae4dd1-43fb-44ec-b253-38347a1896c8 failed with response 500
[2023-12-15 00:59:23.724] | DEBUG | services.sqs_services | process_job | sqs_services.py:66 | Retrying job with id d9ae4dd1-43fb-44ec-b253-38347a1896c8, attempt number 2 which is less than max_attempts
[2023-12-15 00:59:23.826] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: d9ae4dd1-43fb-44ec-b253-38347a1896c8
[2023-12-15 00:59:23.827] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job d9ae4dd1-43fb-44ec-b253-38347a1896c8 in the database
[2023-12-15 00:59:23.932] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId d9ae4dd1-43fb-44ec-b253-38347a1896c8
[2023-12-15 00:59:24.133] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 23
[2023-12-15 00:59:24.133] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id d38df45e-99fa-4e83-9fbe-5660bf63258e
[2023-12-15 00:59:24.236] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id d38df45e-99fa-4e83-9fbe-5660bf63258e
[2023-12-15 00:59:24.544] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id d38df45e-99fa-4e83-9fbe-5660bf63258e processed successfully with response 200
[2023-12-15 00:59:24.544] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job d38df45e-99fa-4e83-9fbe-5660bf63258e in the database
[2023-12-15 00:59:24.645] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId d38df45e-99fa-4e83-9fbe-5660bf63258e
[2023-12-15 00:59:24.749] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 23
[2023-12-15 00:59:24.851] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id e6d05cd2-044c-497d-b6f8-047701a9a1ce
[2023-12-15 00:59:24.953] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id e6d05cd2-044c-497d-b6f8-047701a9a1ce
[2023-12-15 00:59:25.157] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id e6d05cd2-044c-497d-b6f8-047701a9a1ce processed successfully with response 200
[2023-12-15 00:59:25.158] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job e6d05cd2-044c-497d-b6f8-047701a9a1ce in the database
[2023-12-15 00:59:25.229] | DEBUG | __main__ | <module> | worker.py:32 | Deleting the job from queue with jobId e6d05cd2-044c-497d-b6f8-047701a9a1ce
[2023-12-15 00:59:25.362] | DEBUG | __main__ | <module> | worker.py:38 | Number of messages in queue, 23
[2023-12-15 00:59:25.363] | DEBUG | __main__ | <module> | worker.py:24 | Received job with id ab3f1a66-4b85-4a6a-b502-fc0a1caecb21
