[2023-12-15 00:59:16.148] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 2b1e2354-4bdd-4ef3-8e95-770c13887765
[2023-12-15 00:59:16.149] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 0.12909531593322754 seconds
[2023-12-15 00:59:16.248] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id 12e770bf-bfc9-45f5-9623-fd9b1d80d649
[2023-12-15 00:59:16.352] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: 12e770bf-bfc9-45f5-9623-fd9b1d80d649
[2023-12-15 00:59:16.353] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 0.15381908416748047 seconds
[2023-12-15 00:59:16.452] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id ac8e459d-3f35-44c3-a244-71e095d73ab8
[2023-12-15 00:59:16.557] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: ac8e459d-3f35-44c3-a244-71e095d73ab8
[2023-12-15 00:59:16.558] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /addJob completed in 0.1779038906097412 seconds
[2023-12-15 00:59:22.188] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.11202096939086914 seconds
[2023-12-15 00:59:44.922] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.08957695960998535 seconds
[2023-12-15 00:59:51.269] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.1201469898223877 seconds
[2023-12-15 00:59:55.571] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.09583520889282227 seconds
[2023-12-15 00:59:59.461] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.051731109619140625 seconds
