[2023-12-15 15:31:03.556] | INFO | services.middlewares | api_timing_middleware | middlewares.py:13 | API call: /status completed in 0.09233999252319336 seconds
[2023-12-15 15:31:03.656] | DEBUG | services.job_queue_services | add_job | job_queue_services.py:20 | Pushing the job to the queue with Id e2af1b91-ec4e-4559-89e9-63a3046b9410
[2023-12-15 15:31:03.760] | DEBUG | services.sqs_services | publish_job | sqs_services.py:27 | Job pushed with id: e2af1b91-ec4e-4559-89e9-63a3046b9410
[2023-12-15 15:31:03.869] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id test_job_id
[2023-12-15 15:31:03.869] | DEBUG | services.sqs_services | process_job | sqs_services.py:58 | Job with id test_job_id processed successfully with response 200
[2023-12-15 15:31:03.870] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job test_job_id in the database
[2023-12-15 15:31:03.871] | DEBUG | services.sqs_services | process_job | sqs_services.py:50 | Making a POST call to the endpoint https://ah9x9uxtyc.execute-api.ap-south-1.amazonaws.com/default/autoflow_full_stack_assignment with job_id test_job_id
[2023-12-15 15:31:03.871] | ERROR | services.sqs_services | process_job | sqs_services.py:62 | Job with id test_job_id failed with response 500
[2023-12-15 15:31:03.871] | DEBUG | services.sqs_services | process_job | sqs_services.py:66 | Retrying job with id test_job_id, attempt number 2 which is less than max_attempts
[2023-12-15 15:31:03.872] | DEBUG | services.sqs_services | process_job | sqs_services.py:89 | Updating job test_job_id in the database
